P,PET,Tmax,Tmin,R
4.25,0.5666,29.8667,15.0889,3.717
8.2,0.5459,27.9778,15.5667,3.706
2.32,0.5459,26.8667,15.7333,3.694
7.79,0.7527,27.4944,17.5278,3.683
0.78,0.8851,31.2056,17.2722,3.67
0.74,0.6948,33.0222,17.1944,3.658
8.58,0.6783,33.3722,19.1111,3.645
7.91,1.1994,30.5889,18.1611,3.632
5.14,0.7527,28.7833,18.8556,3.618
4.9,0.79,28.6444,18.9611,3.604
0.12,0.9016,31.1333,18.5056,3.59
0.02,0.9761,31.7722,16.3889,3.575
0,0.9389,34.1111,15.9944,3.56
0.24,0.6411,33.5944,17.5667,3.544
0.01,0.5459,31.9278,17.9222,3.528
0.01,0.5294,31.7722,15.6167,3.512
1.85,0.4425,32.7444,16.0389,3.495
0,0.4219,31.9111,17.3778,3.479
0.02,0.3772,31.9722,15.8611,3.461
3.2,0.3859,28.4111,17.5167,3.444
0.03,0.402,29.3222,16.1222,3.426
0.01,0.4219,30.3389,13.5389,3.408
2.84,0.4219,29.8722,17.2056,3.389
0,0.3772,27.4611,16.3056,3.37
0,0.3598,27.3944,9.7944,3.351
0,0.3511,28.4778,12.4778,3.332
0,0.3309,30.8389,13.5944,3.312
0.32,0.3309,32.3722,15.5056,3.292
2.43,0.3396,30.7,16.9111,3.272
7.43,0.3309,30.2833,17.8611,3.251
0.35,0.383,29.0333,18.0333,3.23
2.44,0.3714,30.3944,16.8889,3.209
0.06,0.4922,31.8389,16.2944,3.188
0.2,0.4715,32.65,16.1667,3.166
4.88,0.3656,28.8222,17.8889,3.145
10.53,0.3859,23.1167,14.8056,3.122
0.11,0.5459,22.2444,15.5278,3.1
0.19,0.5459,25.6889,16.1833,3.078
4.06,0.4715,28.5556,17.0556,3.055
1.66,0.5666,29.1111,18.6667,3.032
0,0.5129,29.1611,14.3444,3.009
0,0.426,27.4056,11.75,2.986
0,0.4301,28.0111,11.4389,2.962
0.07,0.3987,30.1111,14.8111,2.938
8.21,0.3598,28.6889,17.9278,2.914
11.5,0.4715,25.7111,17.9944,2.89
6.09,0.4922,21.8111,14.5278,2.866
0.97,0.8644,26.1333,13.2722,2.842
0.11,0.7362,28.0056,14.6667,2.817
0,0.5459,28.9389,13.1056,2.793
0,0.4301,29.8444,13.9333,2.768
0.01,0.4343,28.5778,15.9222,2.743
0.56,0.4053,29.8778,16.6111,2.718
8.43,0.3772,27.1222,16.4389,2.693
3.76,0.4922,19.45,11.9278,2.668
0.04,0.6038,20.5778,11.0444,2.642
0.02,0.4922,24.8222,10.95,2.617
0,0.4343,27.3556,11.2778,2.591
0,0.4053,26.6556,10.5389,2.566
0,0.3921,28.6556,10.3611,2.54
0,0.3743,30.0111,10.35,2.515
0.05,0.3656,30.8333,11.9333,2.489
0.02,0.354,25.8056,13.2444,2.463
0,0.3338,20.95,4.5944,2.437
0,0.3164,19.1833,2.4,2.411
0.07,0.3135,21.4222,2.7611,2.385
0.08,0.2994,25.95,10.2222,2.36
0.01,0.2994,27.1333,10.1611,2.334
54.63,0.3367,22.8056,10.7667,2.308
5,1.2242,23.1222,12.15,2.282
0,1.431,21.8167,9.2111,2.256
0,0.761,21.9222,3.4889,2.23
0,0.5873,24.4444,4.2556,2.205
0,0.4922,26.7278,8.1444,2.179
0,0.4384,25.0667,7.2722,2.153
0,0.3743,23.3667,5.2278,2.127
0,0.3801,25.7,3.8111,2.102
0,0.5046,27.3944,4.9278,2.076
0,0.6204,27.7222,6.9167,2.051
0,0.4715,23.6722,8.4222,2.026
0,0.3888,21.3111,2.8389,2
0,0.3598,24.7944,2.5056,1.975
0,0.3453,25.7278,8.4722,1.95
0,0.3425,22.7778,5.0611,1.925
0,0.383,22.7556,2.3611,1.901
0,0.3772,24.8056,2.0889,1.876
0,0.4219,27.0278,1.5778,1.851
0,0.6783,27.0167,2.6556,1.827
0,0.6038,26.4556,3.7056,1.803
0,0.3743,26.1222,5.85,1.779
0,0.3511,26.8611,7.1722,1.755
0,0.3714,26.8,7.9056,1.731
0.01,0.3425,22.4833,7.3667,1.708
2.19,0.3453,17.4056,11.3944,1.684
0.01,0.3627,22.5056,10.6667,1.661
0.01,0.3714,23.1556,11.1167,1.638
0.08,0.3801,26.4278,9.9333,1.615
0.04,0.3743,27.4444,8.9333,1.593
0.26,0.3801,24.0444,10.4444,1.571
0.38,0.3685,17.5333,5.0333,1.548
0,0.354,14.8611,1.2778,1.527
0.11,0.3511,19.4833,-1.9944,1.505
16.57,0.3396,18.0778,4.9778,1.484
0.07,0.4715,10.6167,0.0278,1.463
0,0.4922,12.8222,-2.4222,1.442
0,0.455,15.8667,-2.7111,1.421
6.66,0.4219,14.9889,4.4556,1.401
19.29,0.6038,14.9333,9.6167,1.381
0.34,0.79,15.6389,10.0722,1.361
0,0.6948,16.5611,6.1278,1.342
0,0.5666,19.4944,2.3611,1.322
0,0.5129,21.0111,2.9944,1.304
0,0.4922,18.6056,2.6556,1.285
0,0.4715,14.5611,0.4111,1.267
0.06,0.4343,10.1278,-4.1333,1.249
0.03,0.4425,6.9722,-3.1056,1.231
0.27,0.4219,11.3833,-2.3611,1.214
0.22,0.4301,17.1222,-4.7833,1.197
0.04,0.4384,21.1444,-1.2333,1.181
0.05,0.4467,21.7167,1.0722,1.164
0.12,0.4384,21.2444,6.4,1.148
0.14,0.4219,16.1111,2.3833,1.133
0.24,0.4301,17.8667,5.9833,1.118
0.24,0.4177,19.5556,6.1333,1.103
11.07,0.4384,18.1611,11.1611,1.088
0.02,0.5129,14.75,0.55,1.074
0.09,0.5294,11.2889,-3.6222,1.061
1.78,0.4922,11.2611,-1.2556,1.047
0.33,0.4467,19.4333,6.2,1.034
6.66,0.4715,16.6833,8.4667,1.022
40.3,1.0174,15.9667,4.1,1.009
0.12,2.0638,5.0167,-2.2556,0.998
0.09,1.5262,5.2333,-3.4389,0.986
0.32,1.1746,7.2722,-5.7778,0.975
0.27,0.761,6.0556,-1.8556,0.965
0.01,0.6411,6.8778,-6.2389,0.955
0,0.6038,6.8056,-3.8333,0.945
0,0.5459,9.0722,-4.2889,0.935
0.02,0.5666,14.0167,-5.05,0.926
5.07,0.5666,9.0389,-2.9167,0.918
0.08,0.5873,5.1333,-3.35,0.91
0,0.5459,7.2278,-4.5389,0.902
7.6,0.5294,5.5278,-3.1667,0.895
2.54,0.6038,8.0667,0.2778,0.888
2.53,0.6204,7.6,2.3444,0.882
6.07,0.7155,5.5056,-1.7389,0.876
0,0.7362,0.5944,-10.9667,0.87
0.03,0.6783,-0.8222,-11.4167,0.865
0,0.5377,1.7944,-12.9833,0.86
0.17,0.5377,2.5556,-9.0167,0.856
0,0.5377,0.6722,-12.9111,0.852
0,0.4963,-1.2389,-11.4111,0.849
0,0.4963,1.2667,-13.4333,0.846
0.18,0.4963,2.6111,-11.1444,0.844
20.28,0.4963,0.7389,-6.95,0.842
0.13,0.4963,3.6333,-7.2889,0.84
0,0.5459,7.7778,-6.3,0.839
0,0.6204,12.9944,-5.8167,0.838
0,0.6411,10.9667,-1.7944,0.838
0,0.6617,6.1,-3.6667,0.838
0.03,0.6783,5.5889,-5.7556,0.839
0.5,0.6411,3.4278,-8.0944,0.84
10.18,0.5873,0.0222,-9.3667,0.842
17.58,0.5873,2.2833,-6.1111,0.84
0,0.7486,7.8167,-4.85,0.849
0,1.1994,14.1833,-3.1333,0.852
0,1.1622,11.8278,0.3889,0.856
0.12,1.0877,11.95,-5.0333,0.86
3.31,0.9761,10.1556,-3.7889,0.865
3.76,1.0133,11.3833,1.7778,0.87
1.73,1.2408,7.4556,1.7778,0.875
17.22,1.6047,9.4333,0.6333,0.881
0.22,2.494,7.8444,-5.75,0.888
0.01,1.6337,6.5667,-10.1611,0.894
14.12,1.3524,3.2722,-5.6667,0.902
5.41,1.1622,-0.2056,-9.1,0.909
0.12,0.9761,-1.4389,-11.6944,0.917
0,0.8437,1.8889,-12.9278,0.926
0,0.7693,5.35,-12.0611,0.935
0,0.79,6.8889,-7.35,0.944
0,0.79,10.9611,-4.1611,0.954
0.02,0.7362,8.9889,-2.7611,0.964
12.5,0.8644,9.0778,0.6667,0.974
0,1.4683,14.6167,0.5833,0.985
0,1.3938,17.9056,-1.85,0.997
0,1.1622,19.4778,-0.0667,1.008
31.81,1.0877,15.6611,1.5444,1.021
8,5.3353,14.4611,4.3889,1.033
0.39,5.7489,12.8444,-0.8611,1.046
0,2.403,14.5556,-1.0389,1.059
0,1.766,9.9722,-2.6889,1.073
0,1.431,6.9556,-10.1167,1.087
0,1.3152,12.6889,-6.7389,1.101
3.91,1.0505,9.9333,-3.3222,1.116
0.51,0.9761,11.2556,0.4611,1.131
0,0.9182,10.4056,-0.8667,1.147
0,0.8272,11.2278,-5.5944,1.163
0.54,0.8106,13.3444,-7.9611,1.179
12.95,0.7527,15.7444,-5.3556,1.196
21.09,2.5146,12.0778,0.4944,1.212
0.45,3.772,11.8778,1.9833,1.23
0.08,1.9852,7.3333,-4.8611,1.247
1.29,1.551,8.85,-6.1111,1.265
3.47,1.1622,9.9111,-3.3222,1.283
0.81,1.0505,7.0111,-2.4333,1.302
0.02,1.0133,7.4278,-8.7556,1.321
2.32,1.0505,7.8444,-2.4722,1.34
0.05,0.9389,8.5056,-1.6056,1.359
23,0.8644,6.8056,-3.9556,1.379
0.82,1.6337,6.9778,-1.7944,1.399
0,1.8736,9.4889,-7.25,1.419
26.1,1.6916,7.4278,-2.7167,1.44
0.75,3.6189,7.1889,-0.3,1.461
0.26,2.7793,5.5333,-1.7278,1.482
0.01,1.7991,3.8278,-4.9056,1.503
0.03,1.5096,2.3833,-5.7889,1.525
0,1.1994,4.5833,-10.8722,1.546
0.02,1.0505,9.7056,-7.9611,1.569
5.32,0.9761,7.0222,-4.7,1.591
0.03,1.0133,10.1556,-4.1111,1.613
0.02,0.9761,7.8944,-2.6,1.636
9.83,0.9182,3.8556,-2.1667,1.659
0.02,0.9761,8.0833,-5.1222,1.682
0,0.9761,10.0556,-2.75,1.705
10.39,0.9761,14.2167,1.7389,1.729
2.06,1.3938,19.7056,6.4056,1.753
1.62,1.551,20.0111,5.85,1.777
13.09,1.5096,19.9722,8.2111,1.801
0,1.9273,15.7167,-1.4333,1.825
0,1.7578,16.5611,0.6111,1.849
0.28,1.4683,20.7722,5.0444,1.874
0.18,1.2408,22.1389,9.7333,1.898
5.36,1.125,19.7222,7.1,1.923
0,1.0877,15.45,-1.4167,1.948
0,1.0877,16.4611,-1.15,1.973
0,1.1994,14.7889,-2.6833,1.998
18.86,0.9761,13.8222,2.3167,2.023
11.51,1.6461,14.3,5.7611,2.049
0.01,2.2665,16.6889,-2.6167,2.074
0,1.8115,18.6444,-0.8778,2.1
0,1.4145,14.6722,0.3611,2.125
0.14,1.249,13.6889,-4.4111,2.151
6.73,1.1084,9.6056,0.5222,2.176
6.86,1.1581,10.2833,0.2556,2.202
0,1.2036,11.7111,0.2444,2.228
0,1.1126,14.6,-2.6222,2.254
0,1.0257,18.6167,0.6778,2.28
1.54,1.0092,17.05,5.6222,2.306
9.26,1.0671,18.8667,8.65,2.331
0,1.0216,14.9278,-1.7722,2.357
0.05,0.9389,17.9778,-0.9167,2.383
0.25,0.8975,15.4556,1.3556,2.409
0.48,0.852,8.5167,-7.6056,2.435
0.06,0.8603,9.2111,-7.55,2.461
0.14,0.8396,11.5556,-3.95,2.486
0.56,0.8479,18.8,-1.1389,2.512
6.2,0.8355,20.45,7.8056,2.538
0.63,0.8561,16.7722,5.4389,2.564
0.76,0.8685,10.2333,2.8889,2.589
23.7,0.9099,12.2,3.7778,2.615
24.32,3.1019,19.3944,7.1333,2.64
5.41,6.1625,19.5,9.4667,2.665
0,3.2674,14.4222,0.3,2.691
0,2.2623,17.7333,-1.6333,2.716
0.01,1.4807,21.0167,0.8389,2.741
0.21,1.3111,20.3778,4.1389,2.766
21.02,1.1539,17.6667,10.2667,2.79
1.77,1.5717,20.9667,12.5944,2.815
0,3.0647,20.3611,8.8556,2.84
0,1.766,21.8611,1.5833,2.864
0,1.4724,26.4333,6.2444,2.888
0.26,1.3111,27.7278,11.5556,2.912
0.64,1.1663,29.1944,11.0611,2.936
0.68,1.1498,28.8889,13.8611,2.96
0.01,1.0629,28.3944,13.0278,2.983
0.09,1.0257,26.8389,11.0278,3.007
4.09,0.9885,26.0389,12.6889,3.03
0.72,0.914,26.3111,13.9944,3.053
1.03,0.8892,21.8333,10.7889,3.076
3.27,0.8396,14.3778,7,3.098
19.21,0.8272,15.0944,7.5611,3.12
6.83,1.0133,22.8722,11.1,3.143
1.05,1.5923,23.7667,10.5944,3.164
0.18,1.4724,21.1056,9.6611,3.186
0.26,1.4683,19.5167,8.8389,3.207
3.25,1.2077,16.05,9.1389,3.228
2.61,1.125,16.5389,7.7111,3.249
0.08,1.0505,22.6556,9.7611,3.27
0.01,1.1084,25.2444,7.0278,3.29
0,0.9637,25.0222,7.8722,3.31
0,0.9389,27.9611,8.4889,3.33
0,0.9058,30.3889,11.4667,3.349
0,0.8603,30.3056,14.3889,3.369
0,0.8272,29.1056,13.0889,3.387
0.56,0.7941,27.9889,10.7556,3.406
6.68,0.7817,27.9556,15.5167,3.424
13.36,0.79,26.0389,15.4611,3.442
0.02,1.0133,21.9556,9.1222,3.46
0.01,1.0795,23.85,7.7889,3.477
0,0.8851,26.8611,6.4722,3.494
0,0.9016,29.1556,8.9611,3.511
0,0.9595,29,11.3944,3.527
0,0.9968,30.1333,9.8,3.543
0.42,0.8561,32.2111,13.2111,3.558
0.01,0.7031,27.2611,14.6167,3.573
0.08,0.6038,29.3222,13.8722,3.588
2.82,0.5873,30.7111,14.9111,3.603
1.07,0.5832,29.3056,15.4333,3.617
0.32,0.608,29.4667,16.2833,3.63
0.01,0.5873,29.1944,9.3667,3.644
0.36,0.5542,29.3611,13.5556,3.657
12.16,0.5294,28.0056,16.2111,3.669
5.73,0.5211,20.4278,10.9,3.682
0,0.6948,20.9889,9.1611,3.693
0.62,0.6452,23.9444,10.7444,3.705
24.16,0.6245,22.0167,14.7,3.716
8.09,0.9306,21.2889,14.1778,3.726
0.01,1.5262,24.3889,11.2389,3.736
0,0.9637,25.0722,9.2,3.746
0.42,0.7858,26.6111,12.1833,3.756
0.63,0.6948,26.9389,14.5889,3.765
8.24,0.6328,26.3611,16.5389,3.773
0.35,0.6369,29.9111,14.6111,3.781
0.04,0.9016,32.45,15.8222,3.789
0.03,0.6576,33.5611,18.15,3.796
0.02,0.5583,32.1611,18.0611,3.803
0.21,0.5294,29.2778,17.4278,3.809
4.53,0.5294,31.1333,18.9056,3.815
1.31,0.5583,32.8111,19.1222,3.821
2.63,0.5377,32.9556,18.3222,3.826
0.15,0.5873,30.1667,18.8389,3.831
0.04,0.4922,28.6889,13.2111,3.835
9.8,0.4963,28.8222,17.5111,3.839
1.69,0.4839,31.6056,18.6667,3.842
0.01,0.5625,34.1056,18.6667,3.845
0.01,0.6535,34.9333,19.0833,3.847
4.87,0.4839,34.9389,19.4611,3.849
0.62,0.4715,32.2333,18.9444,3.851
4.09,0.5087,30.8778,19.6944,3.852
2.4,0.5997,29.6833,17.0722,3.853
0.14,0.5046,28.95,15.2056,3.853
0.01,0.455,31.6722,14.4444,3.853
0,0.4136,31.3222,15.0944,3.852
0,0.3789,30.2278,12.3167,3.851
0,0.3598,30.7333,12.8722,3.849
0.2,0.3524,29.7722,15.4444,3.847
2.97,0.3507,30.8167,17.75,3.845
4.59,0.3379,30.6556,18.2833,3.842
0.92,0.3714,28.9167,18.7389,3.839
0,0.4177,28.5889,12.6111,3.835
0,0.378,30.1056,10.9889,3.831
0.09,0.3437,32.4222,14.2722,3.826
0.67,0.2986,31.5722,18.3056,3.821
7.61,0.3032,30.0333,17.1833,3.816
5.01,0.3615,30.1444,15.5333,3.81
5.12,0.7321,29.6,15.8722,3.803
31.16,0.8148,27.1389,18.2889,3.797
11.3,2.1548,26.9333,19.2,3.789
0.01,1.7702,28.7111,16.5556,3.782
0.18,0.9926,30.4667,14.2167,3.774
2.91,0.6287,30.7,15.3056,3.765
4.55,0.4798,29.8389,17.6278,3.756
22.24,0.5708,26.0222,18.35,3.747
40.32,0.9926,26.6722,18.9,3.737
7.78,5.5008,27.6111,19.1389,3.727
7.07,4.4254,26.8556,18.8444,3.717
7.53,3.4742,28.7222,19.3389,3.706
2.26,2.8455,30.2667,18.9722,3.694
0.29,1.5386,30.5611,19.0778,3.683
0.25,1.1374,28.9667,19.4333,3.67
0.01,0.9347,28.6611,18.2722,3.658
0.01,0.8313,29.9222,17.2333,3.645
0.49,0.7197,31.8944,19.3556,3.632
8.81,0.6287,32.0944,19.9167,3.618
7.53,0.8934,29.9,19.5222,3.604
0.09,1.6378,28.2167,18.5,3.59
0.08,1.1539,28.35,19.1944,3.575
5.2,0.79,31.8167,18.8444,3.56
6.63,1.0919,33.2389,20.5278,3.544
0.12,1.0009,28.7278,17.3056,3.528
0.08,0.761,27.0667,17.1833,3.512
0.08,0.6493,29.3056,16.25,3.495
0.31,0.6163,28.8944,17.3,3.479
2.81,0.579,30.4889,18.6944,3.461
0.27,0.5749,28.7444,17.5389,3.444
26.59,0.5914,29.0278,18.4056,3.426
2.98,1.6999,26.9556,18.9333,3.408
6.86,1.4641,29.35,19.1278,3.389
0,1.187,26.0444,11.1,3.37
0.05,0.8727,23.0778,11.7778,3.351
0.9,0.7445,22.1222,9.6444,3.332
24.56,0.7445,18.8722,13.1111,3.312
0.18,1.1498,26.9611,14.4,3.292
0.43,1.1457,28.1222,13.85,3.272
0.84,0.8934,28.4556,15.2056,3.251
0.14,0.8727,28.75,13.2222,3.23
0.28,0.6824,30.0611,16.2333,3.209
0.03,0.6038,29.6556,18.3944,3.188
0.46,0.5625,29.5167,20.5222,3.166
0.24,0.5459,30.4556,17.3111,3.145
0.19,0.5335,30.9611,17.2444,3.122
0.29,0.5004,30.3,17.2833,3.1
6.62,0.4674,28.9389,17.0611,3.078
1.61,0.5749,27.9167,19.3833,3.055
2.98,0.6617,25.7944,19.2389,3.032
71.32,0.8851,25.9,20.2667,3.009
11.29,7.7342,28.6,19.9944,2.986
0,11.0843,28.85,15.45,2.962
0,3.8836,27.1,12.0444,2.938
0,1.3938,27.7944,13.0333,2.914
0,1.125,29.6722,14.2833,2.89
0,0.9802,31.1111,15.9222,2.866
0,0.9016,28.7111,12.2444,2.842
0,0.7941,27.6,11.2722,2.817
0,0.7321,28.1444,10.7556,2.793
0,0.7155,28.8,12.0944,2.768
1.04,0.6411,28.3556,16.2167,2.743
0.59,0.6245,29.7556,19.0222,2.718
2.35,0.6204,27.6556,16.9056,2.693
4.93,0.6411,20.2833,11.3611,2.668
0,0.6245,23.1,6.0167,2.642
0,0.6204,25.3056,6.0278,2.617
0,0.5708,25.8833,7.2556,2.591
0.05,0.5666,26.0833,9.1778,2.566
2.11,0.5501,23.9611,12.9667,2.54
12.03,0.5459,22.0667,16.5444,2.515
0.53,0.6617,23.05,16.3833,2.489
0.05,0.7362,22.4333,15.5,2.463
0.02,0.6742,26.5111,11.1,2.437
0.09,0.6038,28.6167,14.2,2.411
0,0.5749,26.0111,12.3778,2.385
0,0.5253,23.4333,6.4833,2.36
0,0.4756,23.45,5.0944,2.334
0.02,0.488,25.3944,10.8611,2.308
9.96,0.5046,25.6444,15.8833,2.282
39.05,0.5997,23.9889,16.55,2.256
12,1.4145,23.0667,17.5167,2.23
17.96,2.9655,19.2944,12.6222,2.205
2.57,3.1847,21.8,12.6944,2.179
0.1,2.2665,22.9,14.7167,2.153
48.21,3.2467,20.4222,14.8889,2.127
3.09,7.6515,17.2944,8.6389,2.102
0,3.9663,15.2,1.0278,2.076
0,1.8033,16.1278,-0.0778,2.051
0,1.2987,16.9167,-0.4389,2.026
0,1.1415,20.2722,0.8778,2
0,1.0505,17.0611,2.7056,1.975
0,0.9719,16.4,-2.1444,1.95
0,0.8603,19.9167,-1.8444,1.925
0,0.8437,22.8889,0.3111,1.901
0,0.8065,20.6889,4.4778,1.876
6.95,0.7734,16.2444,8.1111,1.851
91.12,2.0721,14.0611,8.4389,1.827
0.3,10.8775,19.5333,10.4222,1.803
0,14.2276,25.4778,8.6722,1.779
0.13,5.1699,20.2444,7.75,1.755
0.01,3.2426,13.0389,1.1167,1.731
0,2.1796,17.2722,-2.4056,1.708
0,1.4807,22,2.3611,1.684
0,1.2863,18.1667,1.1611,1.661
0,1.216,16.4444,-2.1944,1.638
0,1.1581,19.5444,-1.4333,1.615
0,1.0836,21.4667,-0.6056,1.593
0.05,1.0381,21.5056,1.2111,1.571
0.27,1.0298,22.7611,2.9556,1.548
1.09,1.0298,21.6333,7.7778,1.527
0.06,1.034,21.9722,6.0611,1.505
0,0.9926,19.4778,7.1889,1.484
0,0.9513,18.7111,2.6722,1.463
0,0.9513,20.2667,0.9944,1.442
0,0.914,20.7556,2.3556,1.421
0,0.9099,22.4056,1.3889,1.401
0,0.9016,22.3056,2.7111,1.381
0,0.8065,21.6444,5.2722,1.361
0.13,0.7734,20.4722,0.8056,1.342
1.63,0.823,16.7722,4.3778,1.322
0,0.8934,19.35,3.7333,1.304
0,0.9802,22.0889,1.0389,1.285
0,0.9016,23.5333,2.75,1.267
0,0.8603,22.15,3.4778,1.249
0.33,0.8106,22.9222,7.0833,1.231
0,0.7776,22.0778,2.6944,1.214
0.01,0.7776,22.0167,1.7389,1.197
0.31,0.8479,23.6611,5.45,1.181
0.34,0.8561,22.55,11.7944,1.164
1.49,0.8603,22.0889,12.25,1.148
4.81,0.8272,20.2333,11.7111,1.133
2.89,0.7734,17.1556,6,1.118
0,0.9223,9.6778,-0.9944,1.103
0,0.881,7.3833,-9.0056,1.088
0,0.8106,11.2333,-7.5167,1.074
12.12,0.7817,10.7889,-3.15,1.061
58.19,1.948,15.2667,3.5944,1.047
0.03,8.0237,16.2,4.2167,1.034
0,3.6892,17.9556,0.8389,1.022
0.06,2.5229,15.0222,2.7444,1.009
0.05,1.9232,13.8778,1.2111,0.998
1.96,1.3855,7.2944,-4.1389,0.986
0,1.2201,2.2056,-10.3167,0.975
0.05,1.1167,9.4056,-7.7333,0.965
0.5,1.0836,14.3056,0.3944,0.955
7.66,1.0505,17.2667,8.6333,0.945
3.77,1.125,17.0056,8.6667,0.935
0.18,1.1622,10.3333,-0.35,0.926
0.01,1.1498,4.3833,-7.9556,0.918
0.04,1.0298,7.1889,-8,0.91
0.01,0.9678,10.2889,-3.4722,0.902
0.06,0.9595,8.3333,-3.6056,0.895
0.67,0.9471,11.5111,0.5778,0.888
19.63,1.0257,16.1111,6.5333,0.882
0.09,1.7454,15.0389,4.8444,0.876
0,1.7371,10.9778,-1.3444,0.87
0,1.431,6.1389,-4.0556,0.865
0.03,1.278,7.3944,-7.9389,0.86
0.59,1.1374,10.9278,-1.8722,0.856
0.46,1.0423,9.0167,-4.9778,0.852
4.07,1.0174,1.9944,-12.6556,0.849
6.42,1.0547,4.3778,-5.0611,0.846
0.08,1.1457,3.4833,-3.4333,0.844
0.19,1.125,5.7222,-1.3444,0.842
0.29,1.1002,8.2667,0.4333,0.84
2.02,1.0629,17.8611,2.9889,0.839
9.5,1.0547,18.4944,9.1111,0.838
20.61,1.7991,17.9778,11.8722,0.838
8.12,3.6603,16.8722,10.0889,0.838
0.08,4.1359,13.4944,0.7444,0.839
0.03,2.3327,11.2444,-1.65,0.84
0.1,1.7205,15.2056,0.2611,0.842
0,1.4683,14.7167,2.7611,0.844
1.84,1.3111,10.5944,3.0333,0.84
0.87,1.2573,16.0056,0.9333,0.849
0,1.2242,13.1056,-0.4389,0.852
0,1.1167,11.8944,-6.0333,0.856
0,1.0712,13.3,-3.5167,0.86
0,1.0547,13.6722,0.0833,0.865
0.05,1.0423,12.3667,-2.9111,0.87
0.03,1.0133,18.4722,2.0667,0.875
1.59,1.0092,18.7444,7.6667,0.881
19.87,1.0629,13.4111,1.5556,0.888
0,1.5841,5.3778,-2.5111,0.894
0,1.5758,9.0833,-6.3833,0.902
0.04,1.3194,9.7278,-4.4778,0.909
0,1.1457,7.3,-3.0056,0.917
0,1.0877,2.3611,-7.7056,0.926
15.94,1.0836,-1.1722,-5.6944,0.935
1.52,1.1126,-1.4,-10.1278,0.944
0.1,1.0753,0.3333,-11.4889,0.954
0,1.0174,2.6833,-12.3944,0.964
0,0.9843,9.0833,-9.2722,0.974
0,0.9968,12.5667,-6.0556,0.985
0.01,1.0464,16.3278,-3.2944,0.997
10.02,1.1415,15.5889,3.0056,1.008
6.96,2.0183,15.5944,7.2667,1.021
0,2.8372,15.0944,1.0278,1.033
0.19,2.0183,16.7056,0.7778,1.046
0,1.5717,13.1944,-1.5333,1.059
0,1.2904,10.1444,-7.3333,1.073
0.14,1.1994,9.9222,-2.7222,1.087
6.47,1.1746,3.8611,-5.5333,1.101
0.26,1.1498,-1.25,-11.7944,1.116
3.94,1.1043,3.6611,-12.35,1.131
0.49,1.1043,1.6667,-8.1222,1.147
0,1.0547,0.5444,-12.4722,1.163
0,0.9968,2.4,-10,1.179
0.09,0.9513,6.5889,-11.9111,1.196
1.51,0.9637,13.65,-6.1389,1.212
39.76,2.0638,15.4944,4.4333,1.23
0.04,7.4447,18.9833,9.6389,1.247
1.52,3.9994,17.5722,6.65,1.265
5.74,2.5725,15.8667,7.3222,1.283
0.99,2.1135,21.2222,8.2833,1.302
7.9,1.948,19.2,11.2944,1.321
0.02,2.3285,14.7389,2.1833,1.34
8.02,1.9894,5.9278,-2.3667,1.359
0.01,1.857,4.4389,-8.1722,1.379
0,1.6502,8.1278,-5.1833,1.399
0.01,1.5799,10.2611,0.6,1.419
0,1.5096,15.6167,-0.2667,1.44
0,1.431,13.3778,0.6722,1.461
0,1.3235,9.8111,-6.8944,1.482
0.63,1.2863,14.4333,-3.4278,1.503
0.01,1.2325,10.2444,-7.7611,1.525
0,1.187,8.2111,-7.9444,1.546
24.93,1.1539,6.9833,-2.1833,1.569
14.45,2.8786,6.2389,-3.9111,1.591
0.03,4.9631,0.6444,-8.8722,1.613
0,3.0068,14.8778,-8.2333,1.636
0.03,1.9439,19.7833,-1.3222,1.659
0.11,1.642,19.4056,-0.2389,1.682
24.66,1.5717,14.7278,2.45,1.705
1.16,3.1971,11.8444,2.6056,1.729
12.6,3.1598,10.5611,4.7722,1.753
0.4,3.4287,6.8111,-2.6056,1.777
0.75,2.7049,4.3222,-3.9111,1.801
0.16,2.1796,8.2778,-2.7222,1.825
0.08,1.8488,9.2556,-0.9389,1.849
0.01,1.6957,10.0833,-1.4556,1.874
0,1.5551,9.15,-1.9611,1.898
0,1.46,9.15,-4.9889,1.923
0.89,1.3938,7.9444,-2.3444,1.948
0,1.3649,10.9389,-4.9,1.973
0.01,1.3235,14.55,-3.8833,1.998
0,1.2863,14.7944,-1.6611,2.023
0,1.2656,18.4056,-2.5056,2.049
34.85,2.0101,14.55,2,2.074
0.37,5.4594,19.3722,2.3889,2.1
0.11,2.8786,17.0111,1.9333,2.125
5.77,2.0018,9.6167,-2.6111,2.151
0,1.704,5.2056,-10.5389,2.176
0,1.551,11.4111,-7.0222,2.202
1.71,1.4228,15.6389,-0.8556,2.228
1.48,1.4228,17.1667,7.2556,2.254
20.8,1.5055,14.3278,7.9556,2.28
35.69,3.743,15.4667,4.8611,2.306
0,9.8021,15.9,1.8889,2.331
0,5.7903,18.0444,3.1556,2.357
4.95,3.8795,17.4167,9.1889,2.383
0.01,2.9241,17.7611,7.2056,2.409
0.16,2.101,13.6222,1.7278,2.435
0.07,1.7826,10.55,0.2556,2.461
0.04,1.6792,16.1778,3,2.486
0.04,1.613,14.1111,-3.0556,2.512
0.32,1.5634,13.4278,3.3,2.538
0.01,1.5096,20.6278,4.5056,2.564
13.37,1.4517,22.8444,10.3278,2.589
