P,PET,Tmax,Tmin,R
2.08,0.852,28.4222,12.8833,3.558
0.92,0.8685,30.5833,13.8944,3.573
1.15,0.852,27.6,13.1778,3.588
0,0.8148,22.6167,6.4833,3.603
0.05,0.7941,26.5778,7.9556,3.617
5.17,0.761,24.7722,11.2944,3.63
0.55,0.761,22.8556,10.6167,3.644
0.51,0.7941,21.1111,9.6,3.657
0.24,0.7776,22.2556,11.0556,3.669
0,0.7403,26.2222,9.7389,3.682
0,0.7197,29.6556,9.6722,3.693
0,0.7031,32.3833,11.7778,3.705
0.12,0.6866,35.3167,14.9667,3.716
6.41,0.6659,35.0389,17.1778,3.726
2.96,0.7941,32.1444,17.0167,3.736
1.49,0.7031,27.1889,16.2056,3.746
2.99,0.7403,26.9944,13.15,3.756
14.05,0.7031,28.2778,12.0056,3.765
7.46,0.9926,26.9333,15.4333,3.773
17.23,0.8892,27.6556,13.8222,3.781
0.41,1.1374,27.0722,15.8167,3.789
0.59,1.6337,26.8444,11.9889,3.796
21.95,0.9513,26.8389,13.7056,3.803
15.22,0.9926,26.9611,16.5222,3.809
0.53,4.0532,26.9833,14.2389,3.815
0.45,1.675,27,13.0333,3.821
1.81,1.1374,27.1,12.9611,3.826
10.92,0.9719,23.3167,15.0667,3.831
4.71,1.0547,21.4,15.0111,3.835
1.64,1.1374,25.7167,15.8444,3.839
2.61,0.9926,27.5167,15.8389,3.842
2.67,0.9099,30.5333,17.9389,3.845
4.43,0.9099,30.9722,18.5278,3.847
6.02,0.9926,32.3611,18.8889,3.849
0.1,1.096,33.8778,19.6889,3.851
1.82,0.8892,33.2556,20.3667,3.852
6.64,0.7941,31.8778,19.2556,3.853
2.99,0.7776,32.8611,18.4667,3.853
0.31,1.096,32.6667,18.6833,3.853
4.54,0.852,32.3667,20.0889,3.852
3.67,0.7403,30.3722,18.2889,3.851
1.79,0.8148,29.8444,18.8944,3.849
0.69,0.7403,27.2056,17.1556,3.847
2.6,0.7197,28.3222,16.6667,3.845
13.88,0.7031,30.1722,19.2722,3.842
0.02,0.9306,28.8333,17.25,3.839
0.01,0.8355,27.4778,12.2778,3.835
0,0.7031,28.75,11.0278,3.831
0,0.6121,29.8944,12.5833,3.826
0.12,0.5914,29.7056,14.0667,3.821
2.95,0.5749,31.4444,14.7278,3.816
0.76,0.5583,32.2944,16.9722,3.81
0.31,0.5914,33.3,18.1778,3.803
0.57,0.5749,33.5833,19.7722,3.797
11.46,0.5583,32.2333,20.0611,3.789
13.87,0.5914,31.1778,19.65,3.782
6.66,0.8355,32.5278,18.7556,3.774
0.87,1.0547,32.7111,18.5778,3.765
7.64,1.0547,33.8222,17.7722,3.756
7.03,0.852,33.1611,17.5444,3.747
0.3,0.8355,31.2278,16.6333,3.737
0.08,0.8892,31.6111,14.0667,3.727
